Early Voting Locations,Total,10/24/22,10/25/22,10/26/22,10/27/22,10/28/22,10/29/22,10/30/22,10/31/22,11/01/22,11/02/22,11/03/22,11/04/22,*11/08/22
Southside ISD Admin. Bldg,729,0,0,0,0,0,0,0,0,0,0,0,0,729
Southwest ISD Admin Building,693,0,0,0,0,0,0,0,0,0,0,0,0,693
Specht Elementary School,918,0,0,0,0,0,0,0,0,0,0,0,0,918
Spicewood Park Elementary,0,0,0,0,0,0,0,0,0,0,0,0,0
Spring Meadows Elementary,460,0,0,0,0,0,0,0,0,0,0,0,0,460
St. Hedwig City Hall,855,0,0,0,0,0,0,0,0,0,0,0,0,855
St. James Catholic Church,250,0,0,0,0,0,0,0,0,0,0,0,0,250
St. Leo Catholic Church,181,0,0,0,0,0,0,0,0,0,0,0,0,181
St. Leonard Catholic Church,216,0,0,0,0,0,0,0,0,0,0,0,0,216
St. Mark's The Evangelist Church,0,0,0,0,0,0,0,0,0,0,0,0,0
St. Marys University,2092,159,217,173,143,187,85,26,118,133,198,234,419,0
St. Paul Community Center,569,0,0,0,0,0,0,0,0,0,0,0,0,569
St. Philip Of Jesus Catholic Church,110,0,0,0,0,0,0,0,0,0,0,0,0,110
Stafford Elem Visual Performing Arts,174,0,0,0,0,0,0,0,0,0,0,0,0,174
Stahl Elementary School,509,0,0,0,0,0,0,0,0,0,0,0,0,509
Steubing Ranch Elementary,425,0,0,0,0,0,0,0,0,0,0,0,0,425
Stevenson Middle School,459,0,0,0,0,0,0,0,0,0,0,0,0,459
Stone Oak Elementary School,792,0,0,0,0,0,0,0,0,0,0,0,0,792
Sul Ross Middle School,0,0,0,0,0,0,0,0,0,0,0,0,0
Sydney Lanier High School,175,0,0,0,0,0,0,0,0,0,0,0,0,175
Taft High School,0,0,0,0,0,0,0,0,0,0,0,0,0
Takas Park,878,0,0,0,0,0,0,0,0,0,0,0,0,878
Tejeda Middle School,634,0,0,0,0,0,0,0,0,0,0,0,0,634
Terrell Hills City Hall,597,0,0,0,0,0,0,0,0,0,0,0,0,597
Texas A&M University San Antonio,0,0,0,0,0,0,0,0,0,0,0,0,0
Thomas Edison High School,362,0,0,0,0,0,0,0,0,0,0,0,0,362
Thornton Elementary School,428,0,0,0,0,0,0,0,0,0,0,0,0,428
Thousand Oaks Elementary,258,0,0,0,0,0,0,0,0,0,0,0,0,258
Thousand Oaks Library,1010,0,0,0,0,0,0,0,0,0,0,0,0,1010
Timberhill Villa Retirement,0,0,0,0,0,0,0,0,0,0,0,0,0
Timberwood Park Elementary,0,0,0,0,0,0,0,0,0,0,0,0,0
Tobin Branch Library @ Oakwell,18151,845,1090,1047,1145,1053,584,1325,1393,1333,1224,1109,712,411,905,838,908,996,1233,0
Travis Early College High School,0,0,0,0,0,0,0,0,0,0,0,0,0
Trinity United Methodist Church,279,0,0,0,0,0,0,0,0,0,0,0,0,279
Tuscany Heights Elementary,686,0,0,0,0,0,0,0,0,0,0,0,0,686
Universal City Hall,487,0,0,0,0,0,0,0,0,0,0,0,0,487
Universal City Library,13504,654,707,844,778,725,443,893,872,876,884,813,684,360,745,689,747,829,961,0
UTSA,15876,816,847,1011,1128,980,694,1117,1137,1050,948,1052,714,382,688,697,729,847,1039,0
Vale Middle School,368,0,0,0,0,0,0,0,0,0,0,0,0,368
Valley Hi Elementary School,0,0,0,0,0,0,0,0,0,0,0,0,0
Van Raub Elementary School,8322,768,698,722,711,756,493,294,620,637,733,826,1064,0
Veterans Memorial High School,294,0,0,0,0,0,0,0,0,0,0,0,0,294
Vestal Elementary School,201,0,0,0,0,0,0,0,0,0,0,0,0,201
Villarreal Elementary School,312,0,0,0,0,0,0,0,0,0,0,0,0,312
Vineyard Ranch Elementary,898,0,0,0,0,0,0,0,0,0,0,0,0,898
Von Ormy Municipal Building,110,0,0,0,0,0,0,0,0,0,0,0,0,110
Wanke Elementary School,509,0,0,0,0,0,0,0,0,0,0,0,0,509
Ward Elementary School,857,0,0,0,0,0,0,0,0,0,0,0,0,857
Westfall Branch Library,237,0,0,0,0,0,0,0,0,0,0,0,0,237
Westminster Square Manor,348,0,0,0,0,0,0,0,0,0,0,0,0,348
Westwood Terrace Elementary,304,0,0,0,0,0,0,0,0,0,0,0,0,304
Wetmore Elementary School,833,0,0,0,0,0,0,0,0,0,0,0,0,833
Wilshire Elementary School,223,0,0,0,0,0,0,0,0,0,0,0,0,223
Windcrest Takas Park,9713,495,572,737,755,732,379,707,681,701,573,543,335,222,427,366,430,483,575,0
Wonderland Mall Of The Americas,15416,1067,1110,1173,1084,1013,540,1032,950,874,803,748,680,319,718,655,704,847,1099,0
Wood Middle School,488,0,0,0,0,0,0,0,0,0,0,0,0,488
Woodlake Elementary School,48,0,0,0,0,0,0,0,0,0,0,0,0,48
Woodlake Hills Middle School,210,0,0,0,0,0,0,0,0,0,0,0,0,210
Woodlawn Academy,299,0,0,0,0,0,0,0,0,0,0,0,0,299
Woodlawn Hills Elementary,220,0,0,0,0,0,0,0,0,0,0,0,0,220
Woodlawn Pointe Center,2501,281,249,249,208,167,208,90,138,163,168,202,378,0
Woods Of Shavano Comm Club,580,0,0,0,0,0,0,0,0,0,0,0,0,580
Woodstone Elementary Science,433,0,0,0,0,0,0,0,0,0,0,0,0,433
Wortham Oaks Elementary,0,0,0,0,0,0,0,0,0,0,0,0,0
Wright Elementary School,232,0,0,0,0,0,0,0,0,0,0,0,0,232
Young Mens Leadership Academy,174,0,0,0,0,0,0,0,0,0,0,0,0,174
Young Womens Leadership Academy,236,0,0,0,0,0,0,0,0,0,0,0,0,236
Zachry Middle School,361,0,0,0,0,0,0,0,0,0,0,0,0,361
Total in Person,679360,52538,58171,58491,60408,56908,34788,58798,57575,55411,52538,52642,38232,22025,40780,38447,39401,42650,50057,27500
