Early Voting Locations,Total,04/19/21,04/20/21,04/21/21,04/22/21,04/23/21,04/24/21,04/26/21,04/27/21,*05/01/21
Regency Place Elementary School,277,0,0,0,0,0,0,0,0,277
Rhodes Elementary School,88,0,0,0,0,0,0,0,0,88
Ridgeview Elementary School,281,0,0,0,0,0,0,0,0,281
Riverside Park Elementary School,59,0,0,0,0,0,0,0,0,59
Roan Forest Elementary School,75,0,0,0,0,0,0,0,0,75
Rosewood Rehabilitation & Healthcare,0,0,0,0,0,0,0,0,0,0
Royal Ridge Elementary School,179,0,0,0,0,0,0,0,0,179
Rudder Middle School,376,0,0,0,0,0,0,0,0,376
S.J. Davis Middle School,0,0,0,0,0,0,0,0,0,0
San Antonio College,2232,104,142,123,124,137,192,355,756,299
Salinas Elementary School,13,0,0,0,0,0,0,0,0,13
Sam Houston High School,69,0,0,0,0,0,0,0,0,69
Samuel A. Maverick Elementary School,136,0,0,0,0,0,0,0,0,136
San Antonio College,0,0,0,0,0,0,0,0,0,0
San Antonio Housing Authority,0,0,0,0,0,0,0,0,0,0
San Antonio M.U.D. #1,0,0,0,0,0,0,0,0,0,0
San Antonio Shrine Auditorium,294,0,0,0,0,0,0,0,0,294
San Pedro Church of Christ,147,0,0,0,0,0,0,0,0,147
Sarah King Elementary School,71,0,0,0,0,0,0,0,0,71
Scarborough Elementary School,42,0,0,0,0,0,0,0,0,42
Schaefer Branch Library,1382,75,72,112,89,74,119,155,361,325
Scobee Elementary School,228,0,0,0,0,0,0,0,0,228
Julia Yates Semmes Library,913,0,0,0,0,0,0,0,0,913
Shavano Park City Hall,4530,243,338,400,432,518,538,866,1195,0
Shearer Hills Baptist Church,262,0,0,0,0,0,0,0,0,262
Shepherd King Lutheran Church,176,0,0,0,0,0,0,0,0,176
Sky Harbour Elementary School,111,0,0,0,0,0,0,0,0,111
Smith Elementary School,75,0,0,0,0,0,0,0,0,75
Somerset City Hall,159,12,9,13,6,7,20,27,65,0
Sonny Melendrez Community Center,0,0,0,0,0,0,0,0,0,0
South Park Mall,0,0,0,0,0,0,0,0,0,0
South San Antonio High School,85,0,0,0,0,0,0,0,0,85
Southside ISD Admin. Bldg.,0,0,0,0,0,0,0,0,0,0
Southwest ISD Admin. Bldg.,0,0,0,0,0,0,0,0,0,0
Specht Elementary School,0,0,0,0,0,0,0,0,0,0
Spicewood Park Elementary School,0,0,0,0,0,0,0,0,0,0
Spring Meadows Elementary School,86,0,0,0,0,0,0,0,0,86
