Early Voting Locations,Total,10/21/24,10/22/24,10/23/24,10/24/24,10/25/24,10/26/24,10/27/24,10/28/24,10/29/24,10/30/24,10/31/24,11/01/24,*11/05/24
Woodlake Hills Middle School,339,0,0,0,0,0,0,0,0,0,0,0,0,339
Woodlawn Academy,309,0,0,0,0,0,0,0,0,0,0,0,0,309
Woodlawn Hills Elementary School,320,0,0,0,0,0,0,0,0,0,0,0,0,320
Woodlawn Pointe Center for Community,6420,480,559,516,590,587,550,280,566,522,536,420,639,396
Woods of Shavano Community Club House,387,0,0,0,0,0,0,0,0,0,0,0,0,387
Woodstone Elementary School,458,0,0,0,0,0,0,0,0,0,0,0,0,458
Wortham Oaks Elementary School,545,0,0,0,0,0,0,0,0,0,0,0,0,545
Wright Elementary School,217,0,0,0,0,0,0,0,0,0,0,0,0,217
Young Men's Leadership Academy,211,0,0,0,0,0,0,0,0,0,0,0,0,211
Young Women's Leadership Academy,241,0,0,0,0,0,0,0,0,0,0,0,0,241
Zachry Middle School,459,0,0,0,0,0,0,0,0,0,0,0,0,459
Total in Person,461329,37583,39855,40905,40908,42839,41426,22095,43110,42562,41180,37937,47249,61689
